id,player,age,team,total_games,games_started,minutes_played,points_per_game
467,Kyle O'Quinn,27,NYK,77,10,18,7.1
468,Semi Ojeleye,23,BOS,73,0,15.8,2.7
469,Emeka Okafor,35,NOP,26,19,13.6,4.4
470,Jahlil Okafor,22,TOT,28,0,12.6,6.3
471,Jahlil Okafor,22,PHI,2,0,12.5,5
472,Jahlil Okafor,22,BRK,26,0,12.6,6.4
473,Victor Oladipo,25,IND,75,75,34,23.1
474,Kelly Olynyk,26,MIA,76,22,23.4,11.5
475,Chinanu Onuaku,21,HOU,1,0,22,4
476,Cedi Osman,22,CLE,61,12,11,3.9
477,Kelly Oubre Jr.,22,WAS,81,11,27.5,11.8
478,Zaza Pachulia,33,GSW,69,57,14.1,5.4
479,Marcus Paige,24,CHO,5,0,5.6,2.4
480,Georgios Papagiannis,20,TOT,17,0,7.2,2.1
481,Georgios Papagiannis,20,SAC,16,0,7.4,2.1
482,Georgios Papagiannis,20,POR,1,0,4,2
483,Jabari Parker,22,MIL,31,3,24,12.6
484,Tony Parker,35,SAS,55,21,19.5,7.7
485,Chandler Parsons,29,MEM,36,8,19.2,7.9
486,Patrick Patterson,28,OKC,82,3,15.5,3.9
487,Justin Patton,20,MIN,1,0,4,2
488,Brandon Paul,26,SAS,64,2,9,2.3
489,Chris Paul,32,HOU,58,58,31.8,18.6
490,Adreian Payne,26,ORL,5,0,8.6,4.2
491,Cameron Payne,23,CHI,25,14,23.3,8.8
492,Elfrid Payton,23,TOT,63,63,28.7,12.7
493,Elfrid Payton,23,ORL,44,44,28.6,13
494,Elfrid Payton,23,PHO,19,19,29,11.8
495,Gary Payton II,25,TOT,23,6,9.6,3
496,Gary Payton II,25,MIL,12,6,8.8,2.5
497,Gary Payton II,25,LAL,11,0,10.5,3.5
498,Kendrick Perkins,33,CLE,1,0,15,3
499,London Perrantes,23,CLE,14,0,4.7,0.5
500,Alec Peters,22,PHO,20,0,11.3,4.1
501,Marshall Plumlee,25,MIL,8,0,6.5,1.8
502,Mason Plumlee,27,DEN,74,26,19.4,7.1
503,Miles Plumlee,29,ATL,55,35,16.7,4.3
504,Jakob Poeltl,22,TOR,82,0,18.6,6.9
505,Quincy Pondexter,29,CHI,23,1,8.5,2
506,Otto Porter,24,WAS,77,77,31.6,14.7
507,Bobby Portis,22,CHI,73,4,22.5,13.2
508,Kristaps Porziņģis,22,NYK,48,48,32.4,22.7
509,Dwight Powell,26,DAL,79,25,21.2,8.5
510,Norman Powell,24,TOR,70,18,15.2,5.5
511,Alex Poythress,24,IND,25,0,4.2,1
512,Jacob Pullen,28,PHI,3,0,2,0.7
513,Rodney Purvis,23,ORL,16,2,18.1,6
514,Zhou Qi,22,HOU,18,0,6.9,1.2
515,Tim Quarterman,23,HOU,3,0,4.3,1.3
516,Ivan Rabb,20,MEM,36,5,14.3,5.6
517,Julius Randle,23,LAL,82,49,26.7,16.1
518,Zach Randolph,36,SAC,59,57,25.6,14.5
519,Xavier Rathan-Mayes,23,MEM,5,0,23.6,5.8
520,J.J. Redick,33,PHI,70,70,30.2,17.1
521,Davon Reed,22,PHO,21,1,11.5,3
